Computational geometry
TCS-0331 [index;problem_family;uncertain] Treewidth of 3-Manifolds
TCS-6289 [source;;source_open] Some Open Problems in Computational Geometry (Invited Talk) | We showed that the problem has a FPTAS in the rectangular domain, but we do not know whether the problem is NP-hard in the rectangular […]
TCS-6325 [source;;uncertain] On the Visibility Graphs of Pseudo-Polygons: Recognition and Reconstruction | The problems of characterizing and recognizing the VGs of simple polygons have had partial results given dating back to over 25 years ago [6] and […]
TCS-6341 [source;;uncertain] The Pseudo-Reachability Problem for Diagonalisable Linear Dynamical Systems | At the same time they observed that the case in which S is a (d − 1)-dimensional subspace of Rd (i.e. a hyperplane) is equivalent […]
TCS-6358 [source;;source_open] Finding Axis-Parallel Rectangles of Fixed Perimeter or Area Containing the Largest Number of Points | We leave it as an open problem to obtain an algorithm whose running time bound is k-sensitive and independent of A, in the style of […]
TCS-6366 [source;;uncertain] Barycentric Cuts Through a Convex Body | More concretely, we conjecture that the only barycentric hyperplanes are the following: three planes perpendicular to T which meet T in lines realizing the depth […]
TCS-6374 [source;;uncertain] An Improved Lower Bound on the Minimum Number of Triangulations | If we do not know which point increases the number of triangulations by a factor α ≥ 2, we have to extend each order type […]
TCS-6404 [source;;uncertain] Proper Coloring of Geometric Hypergraphs | Whether such a polychromatic k-coloring exists for homothetic copies of convex polygons for any mk is an open problem, which would be a significant strengthening […]
TCS-6405 [source;;uncertain] The Isomap Algorithm in Distance Geometry | This difference between being given a K as part of the input or obtaining K as part of the output is considerable: while the EDGP […]
TCS-6407 [source;;uncertain] Permuting and Batched Geometric Lower Bounds in the I/O Model | For the second caveat (that we do not know if it is necessary or not) we define work as block size times number of I/Os […]
TCS-6419 [source;;source_open] Weak 1/r-Nets for Moving Points | Is there a pair c(d, β, r), g(d, β) such that for any finite set P of points moving polynomially with bounded description complexity β […]
TCS-6422 [source;;source_open] Hardness of Packing, Covering and Partitioning Simple Polygons with Unit Squares | The complicated nature of this problem is exemplified by the fact that even for a mere 11 unit squares, it is unknown what is the […]
TCS-6427 [source;;uncertain] Orthogonal Point Location and Rectangle Stabbing Queries in 3-d | The time bound is O(logw n). (We do not know whether this result is optimal, however.)
TCS-6429 [source;;source_open] On Visibility Representations of Non-Planar Graphs | Are these two conditions sufficient, and if not, can we find necessary and sufficient conditions, at least for some restricted graph classes such as 2-planar […]
TCS-6431 [source;;uncertain] Estimating Euclidean Distance to Linearity | We give evidence that a Ω(log2 (1/ε)1/ε2 ) lower bound is inherent in this approach (Claim 6), but we do not know if it can […]
